Temperature(Kelvin),Pressure (Mpa),CaCl2 Concentration (ppm),NaCl Concentration (ppm),KCl Concentration (ppm),MgCl2 Concentration (ppm),CO2 Solubility (mol/kg)
0.734856008,0.070022883,0.001503275,0,0,0,0.378921569
0.734856008,0.093363844,0.001503275,0,0,0,0.494607843
0.734856008,0.116704805,0.001503275,0,0,0,0.509313725
0.734856008,0.155720824,0.001503275,0,0,0,0.553921569
0.734856008,0.179061785,0.001503275,0,0,0,0.574019608
0.734856008,0.194622426,0.001503275,0,0,0,0.588235294
0.734856008,0.217963387,0.001503275,0,0,0,0.597058824
0.734856008,0.001144165,0.015169415,0,0,0,0.006372549
0.734856008,0.023340961,0.015169415,0,0,0,0.150980392
0.734856008,0.046681922,0.015169415,0,0,0,0.275
0.734856008,0.070022883,0.015169415,0,0,0,0.37254902
0.734856008,0.093363844,0.015169415,0,0,0,0.446078431
0.734856008,0.116704805,0.015169415,0,0,0,0.545588235
0.734856008,0.155720824,0.015169415,0,0,0,0.549019608
0.734856008,0.179061785,0.015169415,0,0,0,0.562745098
0.734856008,0.194622426,0.015169415,0,0,0,0.57254902
0.734856008,0.217963387,0.015169415,0,0,0,0.593627451
0.734856008,0.001144165,0.022869626,0,0,0,0.006372549
0.734856008,0.023340961,0.022869626,0,0,0,0.149509804
0.734856008,0.046681922,0.022869626,0,0,0,0.27254902
0.734856008,0.070022883,0.022869626,0,0,0,0.366176471
0.734856008,0.093363844,0.022869626,0,0,0,0.441666667
0.734856008,0.116704805,0.022869626,0,0,0,0.680392157
0.734856008,0.155720824,0.022869626,0,0,0,0.692156863
0.734856008,0.179061785,0.022869626,0,0,0,0.561764706
0.734856008,0.194622426,0.022869626,0,0,0,0.566666667
0.734856008,0.217963387,0.022869626,0,0,0,0.579901961
0.778991504,0.023340961,0.001503275,0,0,0,0.102941176
0.778991504,0.046681922,0.001503275,0,0,0,0.223039216
0.778991504,0.070022883,0.001503275,0,0,0,0.289705882
0.778991504,0.093363844,0.001503275,0,0,0,0.37754902
0.778991504,0.116704805,0.001503275,0,0,0,0.4325
0.778991504,0.155720824,0.001503275,0,0,0,0.495588235
0.778991504,0.179061785,0.001503275,0,0,0,0.52254902
0.778991504,0.194622426,0.001503275,0,0,0,0.53872549
0.778991504,0.217963387,0.001503275,0,0,0,0.558333333
0.778991504,0.023340961,0.015169415,0,0,0,0.099509804
0.778991504,0.046681922,0.015169415,0,0,0,0.207352941
0.778991504,0.070022883,0.015169415,0,0,0,0.30245098
0.778991504,0.093363844,0.015169415,0,0,0,0.370588235
0.778991504,0.155720824,0.015169415,0,0,0,0.483823529
0.778991504,0.179061785,0.015169415,0,0,0,0.506372549
0.778991504,0.194622426,0.015169415,0,0,0,0.526960784
0.778991504,0.217963387,0.015169415,0,0,0,0.54754902
0.778991504,0.023340961,0.022869626,0,0,0,0.081862745
0.778991504,0.046681922,0.022869626,0,0,0,0.216666667
0.778991504,0.070022883,0.022869626,0,0,0,0.299509804
0.778991504,0.093363844,0.022869626,0,0,0,0.369117647
0.778991504,0.116704805,0.022869626,0,0,0,0.420588235
0.778991504,0.155720824,0.022869626,0,0,0,0.479411765
0.778991504,0.179061785,0.022869626,0,0,0,0.505882353
0.778991504,0.194622426,0.022869626,0,0,0,0.522058824
0.778991504,0.217963387,0.022869626,0,0,0,0.545588235
0.823127,0.023340961,0.001503275,0,0,0,0.09754902
0.823127,0.046681922,0.001503275,0,0,0,0.189215686
0.823127,0.070022883,0.001503275,0,0,0,0.266666667
0.823127,0.093363844,0.001503275,0,0,0,0.240686275
0.823127,0.116704805,0.001503275,0,0,0,0.387254902
0.823127,0.155720824,0.001503275,0,0,0,0.458333333
0.823127,0.179061785,0.001503275,0,0,0,0.490686275
0.823127,0.194622426,0.001503275,0,0,0,0.509803922
0.823127,0.217963387,0.001503275,0,0,0,0.534803922
0.823127,0.023340961,0.015169415,0,0,0,0.097058824
0.823127,0.046681922,0.015169415,0,0,0,0.189215686
0.823127,0.070022883,0.015169415,0,0,0,0.261764706
0.823127,0.093363844,0.015169415,0,0,0,0.325980392
0.823127,0.116704805,0.015169415,0,0,0,0.379901961
0.823127,0.155720824,0.015169415,0,0,0,0.431372549
0.823127,0.179061785,0.015169415,0,0,0,0.481862745
0.823127,0.194622426,0.015169415,0,0,0,0.49754902
0.823127,0.217963387,0.015169415,0,0,0,0.521568627
0.823127,0.023340961,0.022869626,0,0,0,0.096568627
0.823127,0.046681922,0.022869626,0,0,0,0.212254902
0.823127,0.070022883,0.022869626,0,0,0,0.250490196
0.823127,0.093363844,0.022869626,0,0,0,0.32254902
0.823127,0.116704805,0.022869626,0,0,0,0.37745098
0.823127,0.155720824,0.022869626,0,0,0,0.446078431
0.823127,0.179061785,0.022869626,0,0,0,0.476960784
0.823127,0.194622426,0.022869626,0,0,0,0.492647059
0.823127,0.217963387,0.022869626,0,0,0,0.517156863
0.65761889,0.001144165,0.000751638,0,0,0.001051361,0.016176471
0.65761889,0.023340961,0.000751638,0,0,0.001051361,0.296568627
0.65761889,0.046681922,0.000751638,0,0,0.001051361,0.642818627
0.65761889,0.070022883,0.000751638,0,0,0.001051361,0.660784314
0.65761889,0.093363844,0.000751638,0,0,0.001051361,0.681862745
0.65761889,0.116704805,0.000751638,0,0,0.001051361,0.698529412
0.65761889,0.155720824,0.000751638,0,0,0.001051361,0.724019608
0.65761889,0.179061785,0.000751638,0,0,0.001051361,0.73872549
0.65761889,0.194622426,0.000751638,0,0,0.001051361,0.748529412
0.65761889,0.217963387,0.000751638,0,0,0.001051361,0.758333333
0.65761889,0.001144165,0.007584708,0,0,0.01060919,0.015686275
0.65761889,0.023340961,0.007584708,0,0,0.01060919,0.3
0.65761889,0.046681922,0.007584708,0,0,0.01060919,0.513235294
0.65761889,0.070022883,0.007584708,0,0,0.01060919,0.644117647
0.65761889,0.093363844,0.007584708,0,0,0.01060919,0.681862745
0.65761889,0.116704805,0.007584708,0,0,0.01060919,0.701960784
0.65761889,0.155720824,0.007584708,0,0,0.01060919,0.722058824
0.65761889,0.179061785,0.007584708,0,0,0.01060919,0.735784314
0.65761889,0.194622426,0.007584708,0,0,0.01060919,0.744607843
0.65761889,0.217963387,0.007584708,0,0,0.01060919,0.756862745
0.65761889,0.001144165,0.011434813,0,0,0.015994566,0.015686275
0.65761889,0.023340961,0.011434813,0,0,0.015994566,0.3
0.65761889,0.046681922,0.011434813,0,0,0.015994566,0.513235294
0.65761889,0.070022883,0.011434813,0,0,0.015994566,0.644117647
0.65761889,0.093363844,0.011434813,0,0,0.015994566,0.681862745
0.65761889,0.116704805,0.011434813,0,0,0.015994566,0.701960784
0.65761889,0.155720824,0.011434813,0,0,0.015994566,0.722058824
0.65761889,0.179061785,0.011434813,0,0,0.015994566,0.727941176
0.65761889,0.194622426,0.011434813,0,0,0.015994566,0.744607843
0.65761889,0.217963387,0.011434813,0,0,0.015994566,0.748529412
0.734856008,0.023340961,0.000751638,0,0,0.001051361,0.154901961
0.734856008,0.046681922,0.000751638,0,0,0.001051361,0.251470588
0.734856008,0.070022883,0.000751638,0,0,0.001051361,0.379901961
0.734856008,0.093363844,0.000751638,0,0,0.001051361,0.495588235
0.734856008,0.116704805,0.000751638,0,0,0.001051361,0.509803922
0.734856008,0.155720824,0.000751638,0,0,0.001051361,0.554901961
0.734856008,0.179061785,0.000751638,0,0,0.001051361,0.575
0.734856008,0.194622426,0.000751638,0,0,0.001051361,1
0.734856008,0.217963387,0.000751638,0,0,0.001051361,0.598039216
0.734856008,0.001144165,0.007584708,0,0,0.01060919,0.005392157
0.734856008,0.023340961,0.007584708,0,0,0.01060919,0.153921569
0.734856008,0.046681922,0.007584708,0,0,0.01060919,0.28004902
0.734856008,0.070022883,0.007584708,0,0,0.01060919,0.378921569
0.734856008,0.093363844,0.007584708,0,0,0.01060919,0.454411765
0.734856008,0.116704805,0.007584708,0,0,0.01060919,0.508333333
0.734856008,0.155720824,0.007584708,0,0,0.01060919,0.564215686
0.734856008,0.179061785,0.007584708,0,0,0.01060919,0.574019608
0.734856008,0.194622426,0.007584708,0,0,0.01060919,0.583333333
0.734856008,0.217963387,0.007584708,0,0,0.01060919,0.597058824
0.778991504,0.023340961,0.000751638,0,0,0.001051361,0.103921569
0.778991504,0.046681922,0.000751638,0,0,0.001051361,0.224019608
0.778991504,0.070022883,0.000751638,0,0,0.001051361,0.290686275
0.778991504,0.093363844,0.000751638,0,0,0.001051361,0.378529412
0.778991504,0.116704805,0.000751638,0,0,0.001051361,0.433480392
0.778991504,0.155720824,0.000751638,0,0,0.001051361,0.496568627
0.778991504,0.179061785,0.000751638,0,0,0.001051361,0.523529412
0.778991504,0.194622426,0.000751638,0,0,0.001051361,0.539705882
0.778991504,0.217963387,0.000751638,0,0,0.001051361,0.559313725
0.778991504,0.001144165,0.007584708,0,0,0.01060919,0.003921569
0.778991504,0.023340961,0.007584708,0,0,0.01060919,0.124019608
0.778991504,0.046681922,0.007584708,0,0,0.01060919,0.245098039
0.778991504,0.070022883,0.007584708,0,0,0.01060919,0.308333333
0.778991504,0.093363844,0.007584708,0,0,0.01060919,0.38627451
0.778991504,0.116704805,0.007584708,0,0,0.01060919,0.432352941
0.778991504,0.179061785,0.007584708,0,0,0.01060919,0.492941176
0.778991504,0.194622426,0.007584708,0,0,0.01060919,0.537745098
0.778991504,0.217963387,0.007584708,0,0,0.01060919,0.557843137
0.823127,0.023340961,0.000751638,0,0,0.001051361,0.099019608
0.823127,0.046681922,0.000751638,0,0,0.001051361,0.190686275
0.823127,0.070022883,0.000751638,0,0,0.001051361,0.268137255
0.823127,0.093363844,0.000751638,0,0,0.001051361,0.328921569
0.823127,0.116704805,0.000751638,0,0,0.001051361,0.397058824
0.823127,0.155720824,0.000751638,0,0,0.001051361,0.459607843
0.823127,0.179061785,0.000751638,0,0,0.001051361,0.491666667
0.823127,0.194622426,0.000751638,0,0,0.001051361,0.51127451
0.823127,0.217963387,0.000751638,0,0,0.001051361,0.536764706
0.823127,0.023340961,0.007584708,0,0,0.01060919,0.099019608
0.823127,0.046681922,0.007584708,0,0,0.01060919,0.195098039
0.823127,0.070022883,0.007584708,0,0,0.01060919,0.270098039
0.823127,0.093363844,0.007584708,0,0,0.01060919,0.332254902
0.823127,0.116704805,0.007584708,0,0,0.01060919,0.388235294
0.823127,0.155720824,0.007584708,0,0,0.01060919,0.441176471
0.823127,0.179061785,0.007584708,0,0,0.01060919,0.493137255
0.823127,0.194622426,0.007584708,0,0,0.01060919,0.508333333
0.823127,0.217963387,0.007584708,0,0,0.01060919,0.532352941
0.713119276,0.057250583,0,0.71600098,0,0,0.303921569
0.713119276,0.113484884,0,0.71600098,0,0,0.446078431
0.713119276,0.226066405,0,0.71600098,0,0,0.519607843
0.713119276,0.338647926,0,0.71600098,0,0,0.553921569
0.713119276,0.45213281,0,0.71600098,0,0,0.62745098
0.713119276,0.169832104,0.166666667,0,0,0,0.431372549
0.735187024,0.06786509,0,0.859201176,0,0,0.303921569
0.735187024,0.113033203,0,0.859201176,0,0,0.426470588
0.735187024,0.225953485,0,0.859201176,0,0,0.490196078
0.735187024,0.338422086,0,0.859201176,0,0,0.509803922
0.735187024,0.451342368,0,0.859201176,0,0,0.553921569
0.735187024,0.068768452,0.033333333,0,0,0,0.362745098
0.735187024,0.118566296,0.033333333,0,0,0,0.495098039
0.735187024,0.226743927,0.033333333,0,0,0,0.617647059
0.735187024,0.339438368,0.033333333,0,0,0,0.651960784
0.735187024,0.451906969,0.033333333,0,0,0,0.710784314
0.735187024,0.068429691,0.033333333,0.859201176,0,0,0.284313725
0.735187024,0.113033203,0.033333333,0.859201176,0,0,0.397058824
0.735187024,0.226631006,0.033333333,0.859201176,0,0,0.475490196
0.735187024,0.338986687,0.033333333,0.859201176,0,0,0.519607843
0.735187024,0.45224573,0.033333333,0.859201176,0,0,0.558823529
