Paper Title,Temperature,Temperature Unit,Pressure,Pressure Unit,CaCl2 Concentration,NaCl Concentration,KCl Concentration,MgCl2 Concentration,Concentration Unit,CO2 Solubility,Solubility Unit,Unconverged data (*)
Liu - 2021,373,kelvin,19.3024125,MPa,0,0,0,0.010513612,mol/kg,1.086,mol/kg,
Liu - 2021,373,kelvin,2.06703,MPa,0,0,0,0.106091903,mol/kg,0.202,mol/kg,
Liu - 2021,373,kelvin,4.13406,MPa,0,0,0,0.106091903,mol/kg,0.369,mol/kg,
Liu - 2021,373,kelvin,6.20109,MPa,0,0,0,0.106091903,mol/kg,0.535,mol/kg,
Liu - 2021,373,kelvin,8.26812,MPa,0,0,0,0.106091903,mol/kg,0.653,mol/kg,
Liu - 2021,373,kelvin,10.33515,MPa,0,0,0,0.106091903,mol/kg,0.776,mol/kg,
Liu - 2021,373,kelvin,13.7903325,MPa,0,0,0,0.106091903,mol/kg,0.905,mol/kg,
Liu - 2021,373,kelvin,15.8573625,MPa,0,0,0,0.106091903,mol/kg,0.986,mol/kg,
Liu - 2021,373,kelvin,17.2353825,MPa,0,0,0,0.106091903,mol/kg,1.016,mol/kg,
Liu - 2021,373,kelvin,19.3024125,MPa,0,0,0,0.106091903,mol/kg,1.066,mol/kg,
Liu - 2021,373,kelvin,2.06703,MPa,0,0,0,0.159945661,mol/kg,0.197,mol/kg,
Liu - 2021,373,kelvin,4.13406,MPa,0,0,0,0.159945661,mol/kg,0.433,mol/kg,
Liu - 2021,373,kelvin,6.20109,MPa,0,0,0,0.159945661,mol/kg,0.511,mol/kg,
Liu - 2021,373,kelvin,8.26812,MPa,0,0,0,0.159945661,mol/kg,0.66,mol/kg,
Liu - 2021,373,kelvin,10.33515,MPa,0,0,0,0.159945661,mol/kg,0.778,mol/kg,
Liu - 2021,373,kelvin,13.7903325,MPa,0,0,0,0.159945661,mol/kg,0.909,mol/kg,
Liu - 2021,373,kelvin,15.8573625,MPa,0,0,0,0.159945661,mol/kg,0.973,mol/kg,
Liu - 2021,373,kelvin,17.2353825,MPa,0,0,0,0.159945661,mol/kg,1.005,mol/kg,
Liu - 2021,373,kelvin,19.3024125,MPa,0,0,0,0.159945661,mol/kg,1.055,mol/kg,
Liu - 2021,298,kelvin,0.101325,MPa,0.009019652,0,0,0,mol/kg,0.032,mol/kg,
Liu - 2021,298,kelvin,2.06703,MPa,0.009019652,0,0,0,mol/kg,0.603,mol/kg,
Liu - 2021,298,kelvin,4.13406,MPa,0.009019652,0,0,0,mol/kg,1.30935,mol/kg,
Liu - 2021,298,kelvin,6.20109,MPa,0.009019652,0,0,0,mol/kg,1.346,mol/kg,
Liu - 2021,298,kelvin,8.26812,MPa,0.009019652,0,0,0,mol/kg,1.389,mol/kg,
Liu - 2021,298,kelvin,10.33515,MPa,0.009019652,0,0,0,mol/kg,1.423,mol/kg,
Liu - 2021,298,kelvin,13.7903325,MPa,0.009019652,0,0,0,mol/kg,1.475,mol/kg,
Liu - 2021,298,kelvin,15.8573625,MPa,0.009019652,0,0,0,mol/kg,1.505,mol/kg,*
Liu - 2021,298,kelvin,17.2353825,MPa,0.009019652,0,0,0,mol/kg,1.525,mol/kg,*
Liu - 2021,298,kelvin,19.3024125,MPa,0.009019652,0,0,0,mol/kg,1.545,mol/kg,
Liu - 2021,298,kelvin,0.101325,MPa,0.09101649,0,0,0,mol/kg,0.032,mol/kg,
Liu - 2021,298,kelvin,2.06703,MPa,0.09101649,0,0,0,mol/kg,0.5918,mol/kg,
Liu - 2021,298,kelvin,4.13406,MPa,0.09101649,0,0,0,mol/kg,1.06,mol/kg,
Liu - 2021,298,kelvin,6.20109,MPa,0.09101649,0,0,0,mol/kg,1.319,mol/kg,
Liu - 2021,298,kelvin,8.26812,MPa,0.09101649,0,0,0,mol/kg,1.352,mol/kg,
Liu - 2021,298,kelvin,10.33515,MPa,0.09101649,0,0,0,mol/kg,1.394,mol/kg,
Liu - 2021,298,kelvin,13.7903325,MPa,0.09101649,0,0,0,mol/kg,1.44,mol/kg,
Liu - 2021,298,kelvin,15.8573625,MPa,0.09101649,0,0,0,mol/kg,1.47,mol/kg,*
Liu - 2021,298,kelvin,17.2353825,MPa,0.09101649,0,0,0,mol/kg,1.492,mol/kg,*
Liu - 2021,298,kelvin,19.3024125,MPa,0.09101649,0,0,0,mol/kg,1.514,mol/kg,
Liu - 2021,298,kelvin,0.101325,MPa,0.137217755,0,0,0,mol/kg,0.032,mol/kg,
Liu - 2021,298,kelvin,2.06703,MPa,0.137217755,0,0,0,mol/kg,0.5825,mol/kg,
Liu - 2021,298,kelvin,4.13406,MPa,0.137217755,0,0,0,mol/kg,1.013,mol/kg,
Liu - 2021,298,kelvin,6.20109,MPa,0.137217755,0,0,0,mol/kg,1.3085,mol/kg,
